$ cat cln.log
2022-11-17T16:01:41.019Z INFO    lightningd: Creating database
2022-11-17T16:01:41.889Z INFO    connectd: Static Tor service onion address: "ctbezdgkx2bn4zg5bxkoerqrvudlr2c2pye4vjfa46tk67jehtfu5dyd.onion:9736,0.0.0.0:19735" bound from extern port 9736 
2022-11-17T16:01:42.281Z INFO    plugin-bcli: bitcoin-cli initialized and connected to bitcoind.
2022-11-17T16:01:43.437Z INFO    plugin-autoclean: autocleaning every 86400 seconds
2022-11-17T16:01:43.442Z INFO    lightningd: --------------------------------------------------
2022-11-17T16:01:43.442Z INFO    lightningd: Server started with public key 02865dbcb933e81e8e04ca5e967fcec0bc7aafa4cf7d1a63f5450795b1708428c5, alias V2PAxELzA (color #451314) and lightningd v0.11.2
2022-11-17T16:01:51.963Z UNUSUAL lightningd: JSON-RPC shutdown




2022-11-17T16:01:54.462Z INFO    connectd: Static Tor service onion address: "ctbezdgkx2bn4zg5bxkoerqrvudlr2c2pye4vjfa46tk67jehtfu5dyd.onion:9736,0.0.0.0:19735" bound from extern port 9736 
2022-11-17T16:01:54.480Z INFO    plugin-bcli: bitcoin-cli initialized and connected to bitcoind.
2022-11-17T16:01:54.736Z INFO    plugin-autoclean: autocleaning every 86400 seconds
2022-11-17T16:01:54.738Z INFO    lightningd: --------------------------------------------------
2022-11-17T16:01:54.738Z INFO    lightningd: Server started with public key 02865dbcb933e81e8e04ca5e967fcec0bc7aafa4cf7d1a63f5450795b1708428c5, alias V2PAxELzA (color #451314) and lightningd v0.11.2
2022-11-17T16:02:03.145Z UNUSUAL plugin-plugin.js: --- Starting the cl-rest server ---
2022-11-17T16:02:03.324Z UNUSUAL plugin-plugin.js: --- cl-rest api server is ready and listening on port: 13092 ---
2022-11-17T16:02:03.324Z UNUSUAL plugin-plugin.js: --- cl-rest doc server is ready and listening on port: 14091 ---
2022-11-17T16:11:23.494Z INFO    plugin-plugin.js: Killing plugin: exited during normal operation
2022-11-17T17:00:01.529Z UNUSUAL lightningd: JSON-RPC shutdown




2022-11-17T17:00:05.494Z INFO    connectd: Static Tor service onion address: "ctbezdgkx2bn4zg5bxkoerqrvudlr2c2pye4vjfa46tk67jehtfu5dyd.onion:9736,0.0.0.0:19735" bound from extern port 9736 
2022-11-17T17:00:05.619Z INFO    plugin-bcli: bitcoin-cli initialized and connected to bitcoind.
2022-11-17T17:00:06.307Z INFO    plugin-autoclean: autocleaning every 86400 seconds
2022-11-17T17:00:06.308Z INFO    lightningd: --------------------------------------------------
2022-11-17T17:00:06.309Z INFO    lightningd: Server started with public key 02865dbcb933e81e8e04ca5e967fcec0bc7aafa4cf7d1a63f5450795b1708428c5, alias V2PAxELzA (color #451314) and lightningd v0.11.2
2022-11-17T17:00:15.096Z UNUSUAL plugin-plugin.js: --- Starting the cl-rest server ---
2022-11-17T17:00:15.157Z UNUSUAL plugin-plugin.js: --- cl-rest api server is ready and listening on port: 13092 ---
2022-11-17T17:00:15.158Z UNUSUAL plugin-plugin.js: --- cl-rest doc server is ready and listening on port: 14091 ---
2022-11-17T18:13:17.568Z UNUSUAL plugin-plugin.js: Client disconnected, total clients: 0
2022-11-17T18:35:47.469Z UNUSUAL plugin-plugin.js: {\"type\":\"lightning\",\"name\":\"LightningError\",\"message\":\"Could not afford all using all 0 available UTXOs: all short\",\"code\":301,\"fullType\":\"lightning\"}
2022-11-17T18:35:58.866Z UNUSUAL plugin-plugin.js: Client disconnected, total clients: 0
2022-11-17T18:45:04.357Z UNUSUAL plugin-plugin.js: Client disconnected, total clients: 0
2022-11-17T19:20:42.090Z INFO    02312627fdf07fbdd7e5ddb136611bdde9b00d26821d14d94891395452f67af248-chan#1: State changed from CHANNELD_AWAITING_LOCKIN to CHANNELD_NORMAL
2022-11-17T19:38:45.771Z INFO    02312627fdf07fbdd7e5ddb136611bdde9b00d26821d14d94891395452f67af248-channeld-chan#1: Peer connection lost
2022-11-17T19:38:45.990Z INFO    02312627fdf07fbdd7e5ddb136611bdde9b00d26821d14d94891395452f67af248-chan#1: Peer transient failure in CHANNELD_NORMAL: channeld: Owning subdaemon channeld died (62208)
2022-11-17T21:13:44.493Z INFO    02312627fdf07fbdd7e5ddb136611bdde9b00d26821d14d94891395452f67af248-channeld-chan#1: Peer connection lost
2022-11-17T21:13:44.531Z INFO    02312627fdf07fbdd7e5ddb136611bdde9b00d26821d14d94891395452f67af248-chan#1: Peer transient failure in CHANNELD_NORMAL: channeld: Owning subdaemon channeld died (62208)
2022-11-18T15:28:05.239Z INFO    plugin-pay: cmd 43257 partid 0: Initial limit on max HTLCs: 2925, Destination 03f060953bef5b777dc77e44afa3859d022fc1a77c55138deb232ad7255e869c00 has 195 channels, assuming 15 HTLCs per channel
2022-11-18T15:28:05.319Z INFO    plugin-pay: cmd 43257 partid 1: Split into 3 sub-payments due to initial size (7500000000msat > 2560000000msat): new partid 2, new partid 3, new partid 4
2022-11-18T15:28:05.437Z INFO    plugin-pay: cmd 43257 partid 4: No path found
2022-11-18T15:28:05.437Z INFO    plugin-pay: cmd 43257 partid 2: No path found
2022-11-18T15:28:05.745Z INFO    plugin-pay: cmd 43257 partid 6: No path found
2022-11-18T15:28:05.811Z INFO    plugin-pay: cmd 43257 partid 8: No path found
2022-11-18T15:28:05.840Z INFO    plugin-pay: cmd 43257 partid 9: No path found
2022-11-18T15:28:05.841Z INFO    plugin-pay: cmd 43257 partid 11: No path found
2022-11-18T15:28:05.841Z INFO    plugin-pay: cmd 43257 partid 12: No path found
2022-11-18T15:28:05.841Z INFO    plugin-pay: cmd 43257 partid 14: No path found
2022-11-18T15:28:05.993Z INFO    plugin-pay: cmd 43257 partid 18: No path found
2022-11-18T15:28:05.993Z INFO    plugin-pay: cmd 43257 partid 19: No path found
2022-11-18T15:28:05.993Z INFO    plugin-pay: cmd 43257 partid 20: No path found
2022-11-18T15:28:05.993Z INFO    plugin-pay: cmd 43257 partid 7: No path found
2022-11-18T15:28:06.026Z INFO    plugin-pay: cmd 43257 partid 15: No path found
2022-11-18T15:28:06.052Z INFO    plugin-pay: cmd 43257 partid 25: No path found
2022-11-18T15:28:06.052Z INFO    plugin-pay: cmd 43257 partid 28: No path found
2022-11-18T15:28:06.085Z INFO    plugin-pay: cmd 43257 partid 31: No path found
2022-11-18T15:28:06.115Z INFO    plugin-pay: cmd 43257 partid 16: No path found
